Customer,State,Coverage,Education,Gender,Income,Location_Code,Marital_Status,Sales_Channel,Vehicle_Class,Vehicle_Size,flag
HB29169,Washington,Premium,Bachelor,F,0,Suburban,Married,Branch,Luxury SUV,Medsize,2
RH97231,Washington,Basic,Bachelor,M,48893,Suburban,Married,Branch,SUV,Medsize,2
XL80761,California,Basic,College,M,67544,Suburban,Married,Branch,SUV,Small,1
UD27331,Nevada,Extended,Bachelor,M,33701,Suburban,Single,Agent,Four-Door Car,Medsize,2
SG71810,Oregon,Basic,College,F,41503,Rural,Married,Agent,Two-Door Car,Small,2
LR32149,Arizona,Basic,Bachelor,F,52993,Urban,Married,Call Center,Four-Door Car,Medsize,2
FC68244,Oregon,Extended,High School or Below,M,61139,Suburban,Married,Web,Four-Door Car,Medsize,2
LO15516,California,Basic,Bachelor,M,34322,Suburban,Married,Agent,Four-Door Car,Medsize,1
ET47892,Oregon,Premium,College,M,88340,Suburban,Married,Branch,Two-Door Car,Medsize,2
ZS35830,Oregon,Basic,College,F,58166,Rural,Married,Call Center,Four-Door Car,Medsize,2
AY55759,California,Basic,High School or Below,F,92766,Suburban,Married,Agent,Two-Door Car,Large,2
ZO30377,California,Premium,High School or Below,M,0,Suburban,Single,Agent,Four-Door Car,Medsize,2
FV15346,Arizona,Extended,College,M,96853,Suburban,Divorced,Call Center,Two-Door Car,Medsize,2
AX28231,Washington,Basic,High School or Below,M,49345,Urban,Married,Agent,Two-Door Car,Medsize,2
UM94104,Oregon,Basic,High School or Below,M,65375,Rural,Married,Branch,Four-Door Car,Medsize,2
TG70775,California,Basic,High School or Below,F,92766,Suburban,Married,Agent,Two-Door Car,Large,2
YK60829,Oregon,Basic,High School or Below,F,92766,Suburban,Married,Agent,Two-Door Car,Large,1
ZT52415,Oregon,Basic,Bachelor,F,62534,Suburban,Married,Branch,Two-Door Car,Medsize,2
YJ16399,California,Basic,High School or Below,M,0,Suburban,Single,Branch,Four-Door Car,Medsize,1
QW81912,California,Extended,High School or Below,F,63762,Rural,Married,Branch,Four-Door Car,Medsize,2
IV37346,Oregon,Basic,College,F,52497,Suburban,Divorced,Agent,Two-Door Car,Small,1
ZF77631,California,Basic,Master,M,80540,Rural,Married,Agent,Four-Door Car,Medsize,2
EZ30537,Oregon,Premium,Doctor,F,79655,Rural,Married,Branch,Luxury Car,Medsize,2
ZQ28996,Nevada,Basic,College,M,48895,Urban,Married,Web,Four-Door Car,Large,1
UU84036,California,Basic,High School or Below,M,59597,Urban,Married,Agent,Two-Door Car,Medsize,3
XQ51968,California,Extended,High School or Below,M,0,Suburban,Single,Agent,Two-Door Car,Medsize,1
OQ45659,Arizona,Premium,College,F,45431,Suburban,Married,Branch,Four-Door Car,Medsize,2
DY92795,Oregon,Extended,Bachelor,F,83252,Suburban,Married,Call Center,Four-Door Car,Medsize,2
VU79621,Oregon,Basic,Master,M,0,Suburban,Divorced,Branch,Sports Car,Large,2
NU57274,California,Extended,Bachelor,M,0,Suburban,Single,Branch,SUV,Large,2
JO64353,Oregon,Basic,High School or Below,F,20269,Suburban,Married,Agent,Two-Door Car,Small,2
WR88041,Washington,Basic,High School or Below,M,35832,Urban,Divorced,Agent,Four-Door Car,Medsize,2
CY30418,Washington,Basic,College,M,72354,Rural,Divorced,Agent,Four-Door Car,Medsize,2
HJ21793,Oregon,Extended,Bachelor,F,0,Suburban,Married,Call Center,SUV,Medsize,2
TU67471,Washington,Basic,High School or Below,F,92766,Suburban,Married,Agent,Two-Door Car,Large,2
FD45309,Oregon,Extended,High School or Below,M,0,Suburban,Single,Agent,Two-Door Car,Medsize,2
LC92080,Oregon,Basic,College,M,23541,Rural,Married,Agent,Two-Door Car,Medsize,2
DJ27518,California,Extended,High School or Below,F,63657,Suburban,Single,Agent,Sports Car,Medsize,1
RK63095,California,Extended,College,M,72916,Suburban,Single,Web,Two-Door Car,Medsize,2
NP19156,Arizona,Basic,Master,F,28264,Urban,Divorced,Agent,Four-Door Car,Medsize,1
DH68319,Oregon,Basic,College,F,62506,Suburban,Married,Branch,Two-Door Car,Large,2
TM12486,Oregon,Extended,High School or Below,M,28140,Suburban,Single,Web,Four-Door Car,Small,2
CS30775,California,Basic,High School or Below,M,0,Suburban,Single,Web,Two-Door Car,Small,2
LX71137,Arizona,Extended,Bachelor,F,87485,Suburban,Divorced,Branch,Four-Door Car,Medsize,2
MO82744,California,Basic,Bachelor,F,45586,Urban,Divorced,Branch,Four-Door Car,Medsize,2
GG20671,Nevada,Extended,College,M,43267,Suburban,Married,Agent,Four-Door Car,Large,3
BA19651,California,Extended,High School or Below,M,43875,Urban,Divorced,Agent,Four-Door Car,Medsize,1
FU51754,Arizona,Extended,High School or Below,M,0,Suburban,Single,Agent,Two-Door Car,Medsize,2
GB94407,California,Premium,College,M,88340,Suburban,Married,Branch,Two-Door Car,Medsize,1
WX19595,Arizona,Basic,High School or Below,M,0,Suburban,Married,Agent,Luxury Car,Small,2
AH53588,California,Basic,College,M,26802,Suburban,Married,Agent,Two-Door Car,Medsize,2
IU83998,Washington,Premium,Bachelor,F,0,Suburban,Married,Branch,Luxury Car,Medsize,2
VQ57815,Oregon,Basic,Doctor,M,61246,Rural,Married,Branch,Sports Car,Medsize,2
PG27422,California,Basic,Bachelor,F,89953,Urban,Single,Web,Four-Door Car,Medsize,1
VO25412,Washington,Basic,Master,F,37520,Rural,Married,Agent,Two-Door Car,Medsize,3
FA90739,Oregon,Extended,High School or Below,M,0,Suburban,Single,Call Center,SUV,Medsize,1
OG30514,Nevada,Basic,Bachelor,F,65900,Suburban,Married,Agent,Four-Door Car,Medsize,2
GJ44951,Washington,Basic,Bachelor,F,0,Suburban,Single,Agent,Two-Door Car,Medsize,2
QG39997,Arizona,Premium,College,F,10097,Rural,Married,Web,Four-Door Car,Medsize,2
AL43475,California,Basic,College,F,44938,Suburban,Married,Branch,Luxury Car,Large,2
NF60680,Arizona,Basic,High School or Below,F,92766,Suburban,Married,Agent,Two-Door Car,Large,2
EC66666,Arizona,Basic,College,F,0,Suburban,Divorced,Web,Two-Door Car,Medsize,2
JV79596,Oregon,Basic,Bachelor,F,27627,Suburban,Married,Call Center,Two-Door Car,Small,3
UH22701,Oregon,Extended,Master,F,72236,Suburban,Married,Call Center,Four-Door Car,Medsize,2
UX87150,California,Extended,College,M,68229,Suburban,Married,Branch,Four-Door Car,Medsize,1
ZP27971,California,Extended,High School or Below,M,26050,Suburban,Married,Branch,Four-Door Car,Small,2
TG37225,California,Basic,College,M,26802,Suburban,Married,Agent,Two-Door Car,Medsize,2
CO68055,Oregon,Basic,Bachelor,M,0,Suburban,Married,Branch,SUV,Small,2
QU69375,Nevada,Extended,High School or Below,M,0,Suburban,Single,Agent,Two-Door Car,Medsize,1
BK57087,California,Basic,College,F,38223,Suburban,Married,Branch,SUV,Medsize,2
WW41496,Nevada,Extended,Bachelor,F,70164,Urban,Divorced,Agent,Two-Door Car,Medsize,2
LO75919,Arizona,Extended,Bachelor,M,43543,Urban,Married,Call Center,Two-Door Car,Medsize,2
HR28499,California,Extended,Bachelor,M,43578,Rural,Married,Agent,Two-Door Car,Medsize,2
JP10227,California,Premium,College,M,88340,Suburban,Married,Branch,Two-Door Car,Medsize,1
RT36566,California,Basic,Bachelor,F,31006,Suburban,Divorced,Call Center,Four-Door Car,Medsize,2
BD69478,California,Basic,College,M,51883,Suburban,Married,Call Center,Two-Door Car,Small,2
HJ64239,California,Basic,College,F,0,Suburban,Single,Agent,SUV,Medsize,1
ZF70768,California,Premium,High School or Below,M,82758,Rural,Married,Branch,Two-Door Car,Large,2
OH15780,California,Premium,College,M,88340,Suburban,Married,Branch,Two-Door Car,Medsize,2
WL28610,California,Basic,High School or Below,F,0,Suburban,Divorced,Branch,SUV,Medsize,1
CZ57208,California,Basic,Bachelor,F,30205,Suburban,Single,Agent,Luxury SUV,Large,2
DZ87709,Oregon,Basic,High School or Below,F,71811,Rural,Single,Call Center,Four-Door Car,Medsize,2
CJ15590,Oregon,Basic,Bachelor,F,32720,Suburban,Divorced,Branch,Four-Door Car,Medsize,2
YC43143,Arizona,Extended,High School or Below,F,77330,Rural,Married,Web,Four-Door Car,Medsize,2
YM50253,California,Basic,Bachelor,F,89270,Urban,Single,Branch,Four-Door Car,Medsize,2
RU49126,Washington,Basic,College,F,61846,Rural,Married,Agent,SUV,Medsize,2
HI14283,Oregon,Premium,Bachelor,F,0,Suburban,Married,Web,SUV,Small,2
WV17090,California,Basic,Bachelor,M,0,Suburban,Married,Call Center,SUV,Medsize,1
XV21647,California,Basic,High School or Below,F,0,Suburban,Single,Branch,Sports Car,Medsize,2
QQ90441,Nevada,Premium,High School or Below,F,59207,Suburban,Single,Agent,Four-Door Car,Medsize,2
YC80498,California,Basic,College,F,12964,Suburban,Single,Web,Two-Door Car,Medsize,2
ZZ97035,California,Extended,College,M,0,Suburban,Single,Branch,Luxury Car,Small,1
TA82973,Oregon,Basic,High School or Below,F,28937,Rural,Divorced,Call Center,SUV,Medsize,2
BI38192,Oregon,Basic,High School or Below,F,22862,Suburban,Married,Agent,Two-Door Car,Medsize,2
XT36360,Arizona,Basic,High School or Below,F,0,Suburban,Single,Call Center,Four-Door Car,Large,2
JH73503,Arizona,Basic,Doctor,M,24804,Suburban,Married,Call Center,Two-Door Car,Small,2
KJ86296,Oregon,Basic,High School or Below,M,0,Suburban,Single,Agent,Four-Door Car,Medsize,2
GR26937,Oregon,Extended,Master,F,47197,Rural,Married,Agent,Four-Door Car,Medsize,1
QV19964,Oregon,Basic,Doctor,M,33947,Urban,Married,Web,Four-Door Car,Medsize,2
TI47802,California,Basic,Master,F,0,Suburban,Married,Branch,Two-Door Car,Medsize,2
TP41703,Washington,Basic,Bachelor,M,0,Suburban,Single,Call Center,Two-Door Car,Medsize,2
MY88518,Nevada,Extended,Doctor,M,31278,Suburban,Married,Branch,Two-Door Car,Medsize,2
YY11432,Oregon,Extended,High School or Below,F,51725,Rural,Married,Agent,SUV,Medsize,2
FS42690,Washington,Extended,College,M,57647,Suburban,Married,Branch,Two-Door Car,Medsize,2
SB99002,Oregon,Basic,Bachelor,F,49734,Rural,Married,Call Center,Four-Door Car,Medsize,1
ZN33412,Arizona,Extended,College,F,25073,Suburban,Single,Branch,Four-Door Car,Medsize,2
MQ15074,Washington,Basic,High School or Below,M,28082,Suburban,Married,Branch,Four-Door Car,Medsize,2
SB44003,Arizona,Extended,College,F,61108,Rural,Divorced,Agent,Four-Door Car,Medsize,2
VP89545,Arizona,Basic,College,M,0,Suburban,Married,Web,Four-Door Car,Medsize,2
TS42594,California,Premium,High School or Below,F,59207,Suburban,Single,Agent,Four-Door Car,Medsize,2
SV48204,Oregon,Extended,College,F,61108,Rural,Divorced,Agent,Four-Door Car,Medsize,2
HV50891,Nevada,Extended,Doctor,M,31278,Suburban,Married,Branch,Two-Door Car,Medsize,2
IH54239,California,Basic,Master,M,62474,Rural,Married,Branch,Four-Door Car,Medsize,2
BP92643,Arizona,Premium,High School or Below,F,59207,Suburban,Single,Agent,Four-Door Car,Medsize,2
HV85198,Arizona,Basic,Master,M,63513,Urban,Married,Branch,Four-Door Car,Small,2
FQ83162,Washington,Basic,College,M,0,Suburban,Divorced,Agent,Sports Car,Medsize,2
FC70869,Arizona,Extended,High School or Below,F,36167,Suburban,Married,Web,Two-Door Car,Medsize,2
LF55270,Oregon,Extended,College,F,61108,Rural,Divorced,Agent,Four-Door Car,Medsize,2
WS53288,Oregon,Extended,College,F,13663,Suburban,Single,Branch,Four-Door Car,Small,2
HE84643,California,Basic,High School or Below,F,0,Suburban,Single,Branch,Four-Door Car,Medsize,2
HB48073,Arizona,Basic,Bachelor,F,66325,Urban,Married,Agent,SUV,Medsize,1
OQ41280,Nevada,Extended,High School or Below,M,46298,Rural,Divorced,Agent,Four-Door Car,Medsize,1
PE66545,Oregon,Basic,Bachelor,M,29250,Suburban,Married,Agent,Two-Door Car,Small,2
WO39817,Oregon,Basic,High School or Below,M,37043,Rural,Divorced,Branch,Two-Door Car,Medsize,2
MI65698,Oregon,Premium,College,F,28354,Urban,Divorced,Agent,Two-Door Car,Large,2
AZ77669,Oregon,Basic,High School or Below,M,91423,Urban,Married,Web,SUV,Medsize,2
DJ47372,California,Extended,Doctor,M,23202,Suburban,Divorced,Call Center,Four-Door Car,Medsize,2
AC40767,Washington,Basic,Bachelor,M,68041,Urban,Single,Branch,Two-Door Car,Medsize,2
XQ74827,Arizona,Extended,High School or Below,F,38688,Suburban,Single,Agent,Luxury Car,Medsize,3
JX26859,California,Extended,Doctor,M,31278,Suburban,Married,Branch,Two-Door Car,Medsize,2
PE63707,Nevada,Basic,Bachelor,M,88567,Suburban,Married,Web,Four-Door Car,Medsize,2
ZI73222,California,Extended,High School or Below,M,0,Suburban,Married,Web,Luxury SUV,Medsize,2
HI16452,Oregon,Extended,High School or Below,M,0,Suburban,Single,Branch,Four-Door Car,Medsize,3
UF74084,Arizona,Basic,Bachelor,M,39469,Urban,Divorced,Call Center,Two-Door Car,Large,2
RK45396,California,Basic,Bachelor,M,0,Suburban,Married,Web,Four-Door Car,Medsize,1
YX36936,Arizona,Basic,College,M,39621,Rural,Married,Agent,SUV,Medsize,1
IN52645,Oregon,Premium,High School or Below,F,64371,Suburban,Married,Web,SUV,Small,2
KI25980,Washington,Extended,Master,M,43982,Suburban,Divorced,Web,SUV,Small,2
KB44286,Oregon,Basic,High School or Below,F,64403,Rural,Single,Agent,Luxury SUV,Small,1
GX84338,Washington,Extended,Doctor,F,62530,Rural,Married,Agent,Four-Door Car,Medsize,2
YY27420,Arizona,Extended,Bachelor,M,20043,Suburban,Married,Agent,Four-Door Car,Medsize,2
HX31231,Arizona,Premium,Bachelor,F,24345,Suburban,Married,Call Center,Four-Door Car,Medsize,1
FG60807,Oregon,Basic,High School or Below,F,21766,Urban,Married,Agent,Four-Door Car,Medsize,1
SM54018,California,Premium,College,F,0,Suburban,Single,Web,Two-Door Car,Medsize,2
FM14335,Washington,Extended,College,F,61108,Rural,Divorced,Agent,Four-Door Car,Medsize,2
UL10037,Oregon,Extended,College,F,61108,Rural,Divorced,Agent,Four-Door Car,Medsize,1
QX84402,California,Extended,College,F,13663,Suburban,Single,Branch,Four-Door Car,Small,1
EV32492,Arizona,Basic,Bachelor,M,49136,Suburban,Divorced,Web,Four-Door Car,Medsize,2
KP51068,Oregon,Basic,Bachelor,M,59961,Urban,Single,Branch,Four-Door Car,Medsize,2
GL99349,California,Basic,High School or Below,M,95621,Suburban,Married,Web,Two-Door Car,Small,2
VE72838,Arizona,Premium,High School or Below,F,59207,Suburban,Single,Agent,Four-Door Car,Medsize,2
HI60054,California,Extended,Bachelor,F,51593,Urban,Married,Agent,Two-Door Car,Medsize,2
AP27994,Oregon,Basic,High School or Below,F,23124,Suburban,Married,Agent,Sports Car,Medsize,3
No81415,Arizona,Extended,Bachelor,M,31177,Suburban,Married,Call Center,Four-Door Car,Small,2
TF53472,Oregon,Basic,Bachelor,F,41336,Urban,Divorced,Agent,Four-Door Car,Medsize,2
RH71877,Arizona,Basic,College,F,12964,Suburban,Single,Web,Two-Door Car,Medsize,2
VP57785,Oregon,Basic,College,F,12964,Suburban,Single,Web,Two-Door Car,Medsize,2
PR10005,Oregon,Basic,Bachelor,M,85210,Rural,Divorced,Web,Four-Door Car,Medsize,2
KI91500,California,Basic,High School or Below,F,22193,Suburban,Married,Branch,Two-Door Car,Small,2
AX10148,California,Basic,Bachelor,F,0,Suburban,Married,Web,Four-Door Car,Medsize,2
DB28487,California,Basic,High School or Below,F,22249,Suburban,Married,Call Center,Four-Door Car,Medsize,2
LF19061,Arizona,Basic,High School or Below,F,74561,Urban,Married,Web,Two-Door Car,Medsize,2
ED28429,Washington,Basic,Bachelor,M,0,Suburban,Single,Agent,Two-Door Car,Medsize,2
GD84658,Nevada,Extended,High School or Below,F,0,Suburban,Single,Agent,Sports Car,Medsize,1
JG77605,Nevada,Basic,Bachelor,F,30389,Urban,Married,Web,Four-Door Car,Medsize,2
EA23961,California,Basic,College,F,80797,Urban,Married,Web,Four-Door Car,Small,2
ZH89968,Washington,Premium,High School or Below,F,59207,Suburban,Single,Agent,Four-Door Car,Medsize,2
RU75129,Washington,Basic,High School or Below,F,65431,Suburban,Married,Call Center,Four-Door Car,Medsize,2
ZJ90079,Arizona,Basic,College,F,64816,Suburban,Married,Agent,Four-Door Car,Small,1
VO87159,Oregon,Basic,High School or Below,F,69240,Urban,Single,Branch,Luxury SUV,Medsize,2
VJ64329,Oregon,Extended,College,F,13663,Suburban,Single,Branch,Four-Door Car,Small,1
DA79544,Oregon,Basic,Bachelor,M,88126,Rural,Married,Branch,Four-Door Car,Medsize,2
RS30611,Arizona,Extended,High School or Below,M,15871,Suburban,Married,Branch,Four-Door Car,Medsize,2
CG90504,Oregon,Basic,College,F,12964,Suburban,Single,Web,Two-Door Car,Medsize,2
DS75515,California,Basic,Bachelor,M,72333,Urban,Married,Agent,Two-Door Car,Large,2
TW42649,Washington,Basic,College,F,0,Urban,Married,Call Center,Two-Door Car,Medsize,1
MR39613,California,Extended,Bachelor,M,22854,Suburban,Married,Branch,Sports Car,Small,3
GO94903,Oregon,Basic,College,F,12964,Suburban,Single,Web,Two-Door Car,Medsize,2
QE73187,Oregon,Basic,High School or Below,M,66152,Suburban,Married,Call Center,SUV,Medsize,1
XP39695,Arizona,Basic,Bachelor,F,43000,Suburban,Married,Web,SUV,Medsize,2
NH24429,Arizona,Basic,Doctor,M,52972,Suburban,Single,Call Center,Four-Door Car,Medsize,3
FL74984,Oregon,Basic,Bachelor,M,79192,Suburban,Divorced,Call Center,Two-Door Car,Small,2
MN98042,California,Basic,College,M,62291,Suburban,Married,Web,Sports Car,Medsize,2
XU63766,Oregon,Basic,Bachelor,F,0,Urban,Married,Branch,Four-Door Car,Medsize,2
CD38665,California,Basic,High School or Below,M,41433,Suburban,Married,Call Center,Luxury Car,Medsize,2
XM96138,California,Extended,Master,M,98138,Urban,Married,Agent,Four-Door Car,Medsize,2
QC93181,California,Extended,College,F,13663,Suburban,Single,Branch,Four-Door Car,Small,1
FF31523,Washington,Premium,Master,F,28054,Urban,Married,Agent,SUV,Medsize,1
UV57184,California,Basic,Bachelor,F,97849,Urban,Married,Agent,Four-Door Car,Small,3
DG68667,Arizona,Basic,Doctor,M,12617,Suburban,Divorced,Branch,SUV,Medsize,2
WH41496,Washington,Extended,College,M,0,Suburban,Married,Web,SUV,Large,2
OE14751,Oregon,Extended,Doctor,M,31278,Suburban,Married,Branch,Two-Door Car,Medsize,2
QS36363,Arizona,Premium,High School or Below,F,26149,Suburban,Married,Web,SUV,Medsize,2
QQ37605,Washington,Basic,Master,F,26047,Urban,Married,Branch,Four-Door Car,Medsize,2
QT13680,California,Basic,High School or Below,M,25385,Suburban,Married,Branch,Four-Door Car,Medsize,1
QX24179,Oregon,Basic,Bachelor,M,41878,Rural,Married,Agent,Four-Door Car,Medsize,2
LK35963,California,Basic,Bachelor,F,89601,Rural,Married,Branch,Two-Door Car,Medsize,2
YK92080,California,Extended,College,F,30509,Suburban,Single,Branch,Four-Door Car,Medsize,2
GN18675,California,Basic,Bachelor,M,70784,Rural,Married,Branch,Four-Door Car,Medsize,3
WL24392,Arizona,Basic,Bachelor,M,94527,Rural,Married,Agent,Four-Door Car,Medsize,2
VG43444,Oregon,Extended,Bachelor,M,36794,Suburban,Single,Agent,Four-Door Car,Large,2
ME80331,California,Extended,High School or Below,M,0,Suburban,Single,Call Center,SUV,Medsize,2
QY41855,Arizona,Extended,College,F,61108,Rural,Divorced,Agent,Four-Door Car,Medsize,2
QO61775,California,Basic,Master,M,79453,Rural,Single,Agent,SUV,Medsize,2
ES21306,California,Extended,Bachelor,M,0,Suburban,Single,Branch,SUV,Small,2
PZ95949,Arizona,Extended,Doctor,M,31278,Suburban,Married,Branch,Two-Door Car,Medsize,2
FI65786,Oregon,Extended,Master,F,93854,Suburban,Married,Web,Two-Door Car,Large,1
BG30513,California,Extended,College,F,13663,Suburban,Single,Branch,Four-Door Car,Small,2
CJ64468,Oregon,Basic,College,F,12964,Suburban,Single,Web,Two-Door Car,Medsize,2
UK49045,Oregon,Extended,High School or Below,M,29484,Suburban,Married,Branch,Two-Door Car,Medsize,2
AX99820,Arizona,Basic,Bachelor,F,0,Suburban,Single,Agent,Four-Door Car,Small,2
ER20865,California,Premium,Bachelor,M,65605,Urban,Married,Branch,Two-Door Car,Medsize,1
UI84849,Arizona,Basic,College,M,91147,Rural,Married,Agent,Sports Car,Small,2
ZP26168,Washington,Basic,College,F,24584,Urban,Single,Agent,Four-Door Car,Medsize,1
EB86696,California,Basic,Bachelor,M,21808,Suburban,Married,Call Center,SUV,Medsize,3
ED91989,Arizona,Basic,College,M,0,Suburban,Married,Branch,SUV,Large,2
AM26598,Arizona,Basic,College,F,89672,Urban,Married,Agent,Four-Door Car,Medsize,2
JG31799,California,Extended,Bachelor,F,20305,Suburban,Single,Call Center,Two-Door Car,Medsize,2
LK57934,Nevada,Extended,Bachelor,M,45776,Rural,Married,Agent,Four-Door Car,Medsize,2
PK79296,California,Basic,College,F,28995,Suburban,Married,Branch,Four-Door Car,Medsize,2
